,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
384,60.354932000,10.11.11.217,62574,3.211.86.101,443,6,2435,6326,0,0,0,6fa3244afc6bb6f9fad207b6b52af26b,771,4865-4866-4867-49196-49195-49188-49187-49162-49161-52393-49200-49199-49192-49191-49172-49171-52392-157-156-61-60-53-47-49160-49170-10-0-0-0-0-0-0-0-0-0-0,65281-0-23-13-5-18-16-11-51-45-43-10-21-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-25-0-0,0-0,0
385,0.203582000,10.11.11.121,47728,74.125.30.188,5228,6,1505,1477,0,0,0,58e34c2965c9f3fa4919d58deef1f49e,771,4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-23-65281-10-11-35-5-13-51-45-43-41-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
386,65.440614000,10.11.11.200,49277,52.207.88.186,80,6,246,174,0,0,0,0,0,[],[],[],[],0
387,65.437549000,10.11.11.200,49278,52.207.88.186,80,6,1012,1504,0,0,0,0,0,[],[],[],[],0
388,9.025471000,10.11.11.203,49200,5.188.108.58,443,6,194,0,0,0,0,0,0,[],[],[],[],0
389,20.118658000,10.11.11.217,62575,35.185.55.255,80,6,1001,1219,0,0,0,0,0,[],[],[],[],0
390,20.118233000,10.11.11.217,62576,35.185.55.255,80,6,1001,1148,0,0,0,0,0,[],[],[],[],0
391,70.664387000,10.11.11.121,60320,173.236.251.15,80,6,2391,21168,0,0,0,0,0,[],[],[],[],0
392,60.274999000,10.11.11.121,60322,173.236.251.15,80,6,206,206,0,0,0,0,0,[],[],[],[],0
393,0.200783000,10.11.11.121,41928,108.177.9.113,443,6,2064,1503,0,0,0,0,0,[],[],[],[],0
394,65.530707000,10.11.11.121,40230,52.9.197.142,443,6,2183,7158,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
